Event ID,Audio number,Copy control number,Data contents number,Broadcast starting date,Broadcast starting time,Duration,Program title,Program content,Free CA mode,video Component tag,Stream_content + video component type,Video text,audio component tag 1,Stream content + audio component type 1,audio multilingual flag 1,audio main component flag 1,audio quality indicator 1,audio sampling rate 1,main language code 1,secondary language code 1,audio text1 1,audio text2 1,audio stream type 1,audio component tag 2,Stream content + audio component type 2,audio multilingual flag 2,audio main component flag 2,audio quality indicator 2,audio sampling rate 2,main language code 2,secondary language code 2,audio text1 2,audio text2 2,audio stream type 2,content_nibble_level_1 + content_nibble_level_2,user_nibble,digital recording control data all,APS control all,maximum bit rate all,digital copy control type all,digital copy component tag 1,digital recording control data 1,APS control 1,maximum bit rate 1,digital copy control type 1,digital copy component tag 2,digital recording control data 2,APS control 2,maximum bit rate 2,digital copy control type 2,data Component ID1,entry component1,selector byte1,component ref1,data contents text1,group type,Common service id,Common event id,series id,repeat label,program pattern,expire data,episode number,last episode number,series name char,extended_item_descriptor_char,extended_item_char,Country Code,rating,Image constration token,Retention mode,Retention state,Encryption mode,linkage transport stream id,linkage original network id,linkage service id,linkage type, any
"1","1","2","1","20181111","40700","011200","Santa Missa","Padre Marcelo Rossi celebra todos os domingos missa para todo o Brasil. Mais antigo programa da Globo.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0xF3","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"2","1","2","1","20181111","51900","003100","Amazôia Rural","Susana Naspolini apresenta o telejornal que aborda assuntos como qualidade de vida e urbanismo, com prestação de serviços.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x00","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"3","1","2","1","20181111","55000","003600","Pequenas Empresas & Grandes Negócios","Preparativos para o carnaval já agitam foliões e o mercado de trabalho","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x01","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"4","1","2","1","20181111","62600","005900","Globo Rural","Devoção à Nossa Senhora do Rosário é pauta no ‘Globo Rural’ deste domingo","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x00","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"5","1","2","1","20181111","72500","003500","Auto Esporte","As principais notícias sobre o universo dos automóveis.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x10","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"6","1","2","1","20181111","80000","030000","Esporte Espetacular","Além de transmitir partidas e campeonatos ao vivo, o programa semanal apresenta os destaques do mundo esportivo, entrevistas e reportagens especiais.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x10","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"7","1","2","1","20181111","110000","013900","PopStar","No ‘PopStar’ os candidatos já são conhecidos, mas muitos estão ali para viver uma segunda paixão que é a música. ","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x70","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"8","1","2","1","20181111","123900","021900","Fórmula 1","Exibição de corridas de Fórmula 1.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x10","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"9","1","2","1","20181111","145800","020200","Futebol: Vasco x Grêmio","Futebol: Vasco x Grêmio","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x00","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"10","1","2","1","20181111","170000","023000","Temperatuta Máxima","Programa de auditório apresentado por Fausto Silva, que reúne nomes da televisão brasileira, atrações musicais e quadros variados.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x60","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"11","1","2","1","20181111","193000","020000","Domingão do Faustão","Programa de auditório apresentado por Fausto Silva, que reúne nomes da televisão brasileira, atrações musicais e quadros variados.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x60","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"12","1","2","1","20181111","213000","022500","Fantástico","Reportagens especiais e as notícias mais importantes da semana, com apresentação de Tadeu Schmidt e Poliana Abritta. ","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0x00","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"13","1","2","1","20181111","235500","013500","Domingo Maior - Fúria","Paul Maguire, um ex-vigarista, busca encontrar os sequestradores de sua filha para evitar que seu passado criminoso seja revelado.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0xC0","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x30","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"14","1","2","1","20181112","013000","013000","Sessão De Gala - Serra Pelada","1980. Juliano e Joaquim são grandes amigos que ficam empolgados ao tomar conhecimento de Serra Pelada, o maior garimpo a céu aberto do mundo, no Pará.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0xC0","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x40","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
"15","1","2","1","20181112","030000","012900","Corujão I - Arena","Especialista em estatísticas ergueu um império com seu website brutal de gladiadores. Seu novo guerreiro é David, que desencadeia uma carnificina.","0","0x00","0x05B3","","0x10","0x0603","0","1","1","7","por","","Estéreo","Estéreo","0x11","0xC0","0xE0","0","2","0","1","0x0","0","0","0","0x1","0x10","0x0","0","0","1","","0x30","","","","","","","","","","","","","2","","","","","","0","0","","","","","","","","","","","","","","","","",""
